catalog Position,Title,author,Year Published,genre,Section,Total-copies,Times borrowed,Last borrowed_date,Rating,Ratings count,Price,Language,Page count,ISBN,subjects,Dimensions,Thumbnail
A1-B1-0011,The Screwtape Letters,C.S. Lewis,1942,Satire,Fiction,5,118,9_Aug_24,4.75 out of 5 stars,85 ratings,$5.98 ,en,228,,"Fiction, Christian Apologetics, Devil, Aspect religieux, Christian life, Satire, Christianity, DÃƒÂ©mon, Vie chrÃƒÂ©tienne, MatÃƒÂ©rialisme, Christianisme, Materialism, Religious aspects, Satire anglaise, Christianity, 20th century, Christian ethics",5.62 x 0.82 x 8.54 inches,
A1-B1-0012,Burning Daylight,Jack London,1910,Adventure,Fiction,7,10,24_Apr_24,5.0 out of 5 stars,10 ratings,$16.24 ,en,348,,"Bankruptcy, Classic Literature, Fiction, Gold mines and mining, Women pioneers, Fiction, westerns, California, fiction, Fiction, action & adventure, Fiction, thrillers, suspense, American fiction (fictional works by one author)",6.63 x 1.15 x 8.14 inches,
A1-B1-0013,Madame Bovary,Gustave Flaubert,1857,Drama,Fiction,8,3,29_Jan_25,4.21 out of 5 stars,2 ratings,$13.75 ,en,368,,"literary fiction, French literature, Fiction, Manners and customs in fiction, Adultery, Middle class, Physicians' spouses, Suicide victims, Married women, Social life and customs, French fiction, Technique, Suicide, Husband and wife, History, Physicians, Intellectual life, Classic Literature, Spouses, Country life, Women, Manners and customs, Continental european fiction (fictional works by one author), France, fiction, Physicians, fiction, Married people, fiction, Fiction, family life, Fiction, general, Trials, litigation, Literary, Young men, Unrequited love, Romance literature, Trials (Obscenity), Criticism and interpretation, Criticism, Wives, MÃƒÂ©decins, Romans, nouvelles, Conjoints, SuicidÃƒÂ©s, Married people, Couples mariÃƒÂ©s, Vie intellectuelle, MÃ…â€œurs et coutumes, Man-woman relationships, Triangles (Interpersonal relations), Relations entre hommes et femmes, Triangle (Relations humaines), Roman franÃƒÂ§ais, Chang pian xiao shuo, Bovary, charles (fictitious character), fiction, Bovary, emma (fictitious character), fiction, Emma Bovary (Fictitious character), General, Commerce, Qing Dynasty (China), Charles Bovary (Fictitious character), Illustraties, Frans, FICTION / General, Bovary, emma (fictitious character), Bovary, emma (fictitious character)--fiction, Married women--france--fiction, Pq2246.m2 e5 2003, 843.8, French Novelists, Correspondence",5.65 x 1.02 x 8.37 inches,
A1-B1-0014,"Laws, etc. (Session laws : 1754 May)",Massachusetts,1717,History,History,6,2,25_Oct_24,5.0 out of 5 stars,1 rating,$29.95 ,en,488,,"Land tenure, Law and legislation, Law, Session laws, Public Finance, Money, Fire extinction, History, Politics and government",5.45 x 1.71 x 9.65 inches,
A1-B1-0015,Le crime d'Orcival,Émile Gaboriau,1867,Crime/Thriller,Fiction,5,1,25_Mar_24,No rating available,No reviews,$13.10 ,fr,424,,"Fiction, Detective and mystery stories",6.19 x 1.66 x 7.79 inches,
A1-B1-0016,Aaron's Rod,David Herbert Lawrence,1922,Drama,Fiction,5,6,2_Jan_25,3.62 out of 5 stars,5 ratings,Price not available,en,232,,"Classic Literature, Fiction, English Romance fiction, Brothers and sisters, British and irish fiction (fictional works by one author), Fiction, general, London (england), fiction, Male friendship, Runaway husbands, Bohemianism, Church polity, Church and state, Excommunication",6.69 x 1.08 x 9.90 inches,
A1-B1-0017,A Thousand Splendid Suns,Khaled Hosseini,2007,Drama,Fiction,7,861,8_Aug_24,4.72 out of 5 stars,511 ratings,$9.38 ,en,380,,"desertion, Sufism, Pashhtuns, domestic abuse, Tajiks, Taliban, Pinocchio, Literature, Families, Family, Intergenerational relations, Women, Loss (Psychology), Family relationships, Family sagas, Friendship, Families -- Fiction., Fiction, Ehefrau, Social conditions, Arranged marriage, Ehemann, UnterdrÃƒÂ¼ckung, Family life, Afghanistan, fiction, Fiction, family life, Modern & contemporary fiction (post c 1945), General, Frauenfreundschaft, Altersunterschied, Large type books, nyt:trade-fiction-paperback=2008-12-14, New York Times bestseller, New York Times reviewed, Familia, Novela, AfganistÃƒÂ¡n, Fiction, family life, general, Fictional Works, Social life and customs",5.1 x 0.93 x 7.9 inches,http://books.google.com/books/content?id=3vo0NQbIN2YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A1-B1-0018,The Pelican Brief,John Grisham,1992,Crime/Thriller,Fiction,4,98,5_Jul_24,4.67 out of 5 stars,67 ratings,$0.99 ,en,434,,"White House Chief of Staff, Central Intelligence Agency, law firms, legal briefs, Federal Bureau of Investigation, car bombs, The Washington Post, pelicans, environmentalism, legal-suspense thriller, Supreme Court Justices, liberalism, Fiction, Judges, Crimes against, Women law students, Assassination, Witnesses, United States, Journalists, United States. Supreme Court, Detective and mystery stories, Legal stories, Mystery, Literature, Ermittlung, Politischer Mord, Fiction, legal, Fiction, thrillers, general, Large type books, Literature and fiction, mystery and suspense, Journalists, fiction, Louisiana, fiction, Washington (d.c.), fiction, Fiction, mystery & detective, general, Dutch fiction, Spanish language materials, Novela, Mystery fiction, UmschulungswerkstÃƒÂ¤tten fÃƒÂ¼r Siedler und Auswanderer, Fiction, general",5.19 x 1.62 x 8.14 inches,http://books.google.com/books/content?id=hOKpdo6x5zMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
A1-B1-0019,"Villette, a novel",Charlotte Brontë,1853,Drama,Fiction,7,20,17_Sep_24,4.07 out of 5 stars,12 ratings,$17.41 ,en,788,,"Fiction, Women teachers, Separation (Psychology), British, British and irish fiction (fictional works by one author), Belgium, fiction, Man-woman relationships, fiction, Teachers, fiction, Fiction, psychological, Fiction, romance, general, Social life and customs, Psychological fiction, Classic Literature, Literature, British -- Belgium -- Fiction., Man-woman relationships, Romance fiction, Autobiographical fiction, Manners and customs, Romans, English literature, Enseignantes, Anglais, Femmes, English fiction, Drama, Villette (BrontÃƒÂ«, Charlotte), Fiction, women, British--belgium--fiction, Separation (psychology)--fiction, Women teachers--fiction, Pr4167 .v5 2000, 823/.8, Literary criticism, American",5.07 x 1.16 x 7.75 inches,
A1-B1-0020,Nana,Émile Zola,1880,Drama,Fiction,5,3,29_Apr_24,4.47 out of 5 stars,2 ratings,$12.04 ,en,354,,"French fiction, Classic Literature, Fiction, Prostitution in fiction, Hamburg., Prostitue, call-girl, Young women in fiction, decadent France. Cover: Detail from Nana by Edouard Manet (1877) in the Kunsthalle, Young women, Social conditions, Prostitutes, Social life and customs, French literature, Romans, Moeurs et coutumes, Litterature franÃƒÂ§aise, Roman franÃƒÂ§ais, Manners and customs, Continental european fiction (fictional works by one author), Fiction, general, France, fiction, African Americans, Education, Translations into English, Illustraties, Frans",7.64 x 0.87 x 5.04 inches,
A1-B1-0021,The Psalms of David,Isaac Watts,1741,Religion,Humanities,5,1,22_May_24,4.39 out of 5 stars,1 rating,$5.95 ,en,110,,"English Hymns, Bible, English Paraphrases, Paraphrases, Bible. O.T. Psalms. English. Paraphrases. 1824, Psalms (Music).Jesus Christ, Psalters",6.46 x 0.66 x 8.32 inches,
A1-B1-0022,What Katy Did Next (Best Loved Stories),Susan Coolidge,1886,Novels,Young Adult (YA),5,4,11_Nov_24,4.57 out of 5 stars,3 ratings,$0.99 ,en,663,,"Young adult fiction, Children's fiction, Girls, fiction, Families, Fiction, Children's stories, American, American fiction, Fiction, general, Europe, fiction, Children's literature, Juvenile fiction, Roman, Romans, nouvelles, etc. pour la jeunesse",5 x 0.5 x 7.75 inches,
A1-B1-0023,Der Zauberberg,Thomas Mann,1924,Drama,Fiction,6,4,22_Nov_24,4.33 out of 5 stars,2 ratings,$19.99 ,de,1080,,"Fiction, Sanatoriums, German fiction, Translations into English, Philosophy, Civilization, Special Hospitals, Fictional Works, Tuberculosis, Continental european fiction (fictional works by one author), Fiction, coming of age, Germany, fiction, Fiction, general, Literature, FicciÃƒÂ³n, Sanatorios, German language materials, Criticism and interpretation",6 x 1.65 x 9 inches,
A1-B1-0024,The Birds of America,John James Audubon,1827,Biography & Autobiography,Non-Fiction,5,3,14_Sep_24,4.63 out of 5 stars,3 ratings,"$2,738 ",en,550,,"American Watercolor painting, Birds in art, Classification, Miniature books, Ornithologists, Specimens, Artists, Ornithological illustration, Geographical distribution, Juvenile literature, Birds, Biography, Pictorial works, Sale Adult - Art & Art Instruction, Nature/Ecology, Techniques - Painting - Specific Subjects, Individual Artist, Art / General, Sale Books, North America, Birds, including cage birds, Drawing & drawings, Birds & Birdwatching, General, Art & Art Instruction, Art, Techniques - Printmaking, Oiseaux, Ouvrages illustrÃƒÂ©s, Birds, north america, Birds, pictorial works, Birds, united states, Ornithology, Artists, biography, Artists, united states, Miniature books, specimens",8.75 x 1.87 x 12.87 inches,
A1-B1-0025,Hong lou meng,Xueqin Cao,1900,Drama,Fiction,4,5,8_Dec_24,5.0 out of 5 stars,4 ratings,$12.99 ,zh-CN,748,,"Fiction, History, Baoyu Jia (Fictitious character), Chinese fiction, Upper class, Social life and customs, Families, Juvenile literature, Women, Popular Print Disabled Books, Qing Dynasty (China), Fiction, general, China, fiction, Near and far eastern fiction (fictional works by one author), Fiction, historical, Chia, pao-yu (fictitious character), fiction, Fiction, historical, general",6.37 x 2.57 x 6.20 inches,
A1-B1-0026,The Holly Tree,Charles Dickens,1855,Drama,Fiction,4,1,15_Jun_24,No rating available,No reviews,$6.99 ,en,45,,"English Short stories, English Christmas stories, Literature, history and criticism, Fiction, general",6 x 0.15 x 9 inches,
A1-B1-0027,The vampyre,John William Polidori,1819,Horror,Fiction,4,3,23_Dec_24,4.51 out of 5 stars,2 ratings,$9.24 ,en,34,,"Fiction, Incest, Vampires, English Horror tales, Classic Literature, Horror, Short Stories, Fiction, horror, Fiction, ghost, English fiction, Vampires, fiction",7.6 x 0.6 x 5 inches,
A1-B1-0028,The Right Kind of Crazy, Adam Steltzner,2016,Technology & Engineering,Non-Fiction,1,2,9_Sep_24,No rating available,No reviews,$8.89 ,en,320,,"Roving vehicles (Astronautics), Aerospace engineers, Jet Propulsion Laboratory (U.S.), Landing, Space vehicles, Exploration, Curiosity (Spacecraft), Engineers, Astronautics, Mars (planet), Mars (Planet), Space vechicles, BUSINESS & ECONOMICS / Leadership, TECHNOLOGY & ENGINEERING / Aeronautics & Astronautics, BUSINESS & ECONOMICS / Organizational Behavior",6.16 x 0.92 x 9.27 inches,
A1-B1-0029,An Astronaut's Guide to Life on Earth,Chris Hadfield,2013,Biography & Autobiography,Non-Fiction,8,125,15_Jan_25,4.67 out of 5 stars,86 ratings,$9.99 ,en,305,,"Astronauts, United States, United States. National Aeronautics and Space Administration, Exploration, Biography, History, Biographies, Conduct of life, Canada, biography, Space flight, Manned space flight, nyt:science=2013-12-08, New York Times bestseller, Anecdotes, Transportation, nyt:science=2015-05-10, Estados Unidos. Admistracion Nacional de la Aeronautica y del Espacio, Historia, Vuelo espacial tripulado, Estados Unidos, Astronautas, BiografÃƒÂ­a, Astronautics, Astronautes, Astronautique, Astronomie, Station spatiale internationale",5.5 x 0.88 x 8.25 inches,
A1-B1-0030,Discours de la méthode,René Descartes,1644,Science,Humanities,5,7,10_Mar_24,4.75 out of 5 stars,6 ratings,$5.50 ,fr,87,,"Methodology, Science, Modern Philosophy, Early works to 1800, MÃƒÂ©thodologie, Sciences, Refraction, Meteors, Geometry, First philosophy, Method (philosophical), MetodologÃƒÂ­a, French Philosophy, Theory of Knowledge, Metaphysics, Meteorology, Optique, Ciencia, French language, Philosophy, MÃƒÂ©tÃƒÂ©orologie, Classification of sciences, Methods, Philosophy, french, Descartes, rene, 1596-1650, Ouvrages avant 1800, Dieu, Existence, Principe (Philosophie), Connaissance, ThÃƒÂ©orie de la, Science, methodology, Knowledge, theory of, Philosophie franÃƒÂ§aise, ThÃƒÂ©orie de la connaissance, Science--methodology, B1848.e5 c73 1993, 194",5.5 x 0.27 x 8.5 inches,http://books.google.com/books/content?id=sPUP-WGbVG0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A1-B1-0031,"The journals of AndreÌ Gide, 1889-1949",AndreÌ Gide,1939,Biography & Autobiography,Non-Fiction,5,1,6_May_24,No rating available,No reviews,$24.95 ,en,388,,"Authors, Correspondence, reminiscences, Diaries, French Authors, Gide, andre, 1869-1951, Biography, Correspondence, Authors, french, Authors, biography, 2 v.00, Gide, AndrÃƒÂ©, 1869-1951, Fiction, History, French Personal narratives, Personal narratives, French, World War, 1939-1945, Travel, 1939-1949, Journal intime",5.67 x 1.29 x 8.13 inches,http://books.google.com/books/content?id=qp7xAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A1-B1-0032,The Once and Future King,T. H. White,1939,Fantasy,Fiction,4,37,13_Aug_24,4.54 out of 5 stars,28 ratings,$14.99 ,en,644,,"Adaptations, Arthur,, Arthur, in fiction, Arthurian romances, Britons, Britons in fiction, English Fantasy fiction, English Historical fiction, Fantasy fiction, Fiction, Fiction in Spanish, King arthur in fiction, Kings and rulers, Kings and rulers in fiction, Knights and knighthood, Knights and knighthood in fiction, Bretons de Grande-Bretagne, Cycle d'Arthur, Kings, queens, rulers, Chevaliers, Historical fiction, Rois et souverains, Romans, nouvelles, Reading Level-Grade 11, Reading Level-Grade 12, Juvenile fiction, Arthur, king, fiction, Fiction, fantasy, historical, England, fiction, Camelot (legendary place), fiction, Arthurian romances, adaptations, Fantasy, Historical, Epic, Classics, White, t. h. (terence hanbury), 1906-1964, English literature, history and criticism, 20th century, Fiction, fantasy, general",6.24 x 2.32 x 7.24 inches,
A1-B1-0033,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,Biography & Autobiography,Non-Fiction,6,538,9_Jun_24,4.66 out of 5 stars,293 ratings,$8.69 ,en,32,,"Cancer, Cell culture, Research, Patients, Health, HeLa cells, African American women, Medical ethics, Human experimentation in medicine, Biography, History, Lacks, Henrietta, -- 1920-1951 -- Health, Cancer -- Patients -- Virginia -- Biography, African American women -- History, Human experimentation in medicine -- United States -- History, Cancer -- Research, Health and hygiene, Tissue Donors, Patienter, Forskning, Cancerpatienter, Zellkultur, History, 20th Century, Historia, Medicinska experiment pÃƒÂ¥ mÃƒÂ¤nniskor, Ethics, Cellodling, African Americans, Afro-amerikanskor, Medicinsk teknik, Cells, Medicinhistoria, Prejudice, HÃƒÂ¤lsa, HeLa-Zelle, Human Experimentation, Confidentiality, Etik, MEDICAL / Ethics, Tissue and Organ Procurement, Medizinische Ethik, Cytologie, Afro-amerikanska kvinnor, medicine, science, cervical cancer, radiation, effects of radiation, polio, vaccination, Biography & Autobiography, Nonfiction, Sociology, New York Times bestseller, nyt:combined_print_nonfiction=2012-03-03, Hela Cells, MEDICAL, HeLa Cells, University of South Alabama, Reading Level-Grade 11, Reading Level-Grade 12, Cancer, patients, biography, African american women, Cancer, research, Human experimentation in medicine, history, African americans, biography, Large type books, New York Times reviewed, BIOGRAPHY & AUTOBIOGRAPHY, Medical (incl. Patients), Cultural, Ethnic & Regional, General, HEALTH & FITNESS, Diseases, 44.01 history of medicine, 44.02 philosophy and ethics of medicine, Hela cells, Bioethics, Blacks, Human genetics, Neoplasms, Translational Medical Research, Informed Consent, Research Ethics, Medical Ethics, Cell Line, SOCIAL SCIENCE, HeLa-cellen, Bio-ethiek, Zwarten, Antropogenetica, Lacks, henrietta, -- 1920-1951 -- health, Cancer -- patients -- virginia -- biography, African american women -- history, Human experimentation in medicine -- united states -- history, Cancer -- research, Tissue donors, History, 20th century, African americans, Hela-zelle, Human experimentation, Medical / ethics, Tissue and organ procurement, Medizinische ethik, Medicine, Science, Cervical cancer, Radiation, Effects of radiation, Polio, Vaccination, Biography & autobiography, New york times bestseller, Nyt:combined_print_nonfiction=2012-03-03, Medical, University of south alabama, Reading level-grade 11, Reading level-grade 12",6.41 x 0.49 x 8.33 inches,
A1-B1-0034,The Haunted Hotel,Wilkie Collins,1878,Horror,Fiction,5,2,26_Sep_24,4.35 out of 5 stars,1 rating,$8.01 ,en,252,,"Fiction, English fiction, Hotels, Horror fiction, Haunted houses, Large type books, Classic Literature, Fiction, mystery & detective, traditional, Italy, fiction, Fiction, fantasy, paranormal, Venice (italy), fiction, Revenge, British and irish fiction (fictional works by one author), Fiction, mystery & detective, general, Haunted places",5.74 x 1.08 x 9.47 inches,
A1-B1-0035,Clover,Susan Coolidge,1888,Novels,Children,5,1,14_Aug_24,No rating available,No reviews,Price not available,en,208,,"Children's fiction, Children, fiction, Conduct of life, fiction, Sisters, fiction, Physicians, fiction, Family, fiction, Marriage, fiction, Ranch life, fiction, Children, Juvenile fiction, Conduct of life, Sisters, Courtship, Physicians, Families, Weddings, Cousins, Ranches, Siblings, fiction, Family life, fiction, Literature, collections",6.33 x 0.79 x 7.45 inches,
A1-B1-0036,John Donne Poetry,John Donne,1633,Poetry,Humanities,5,4,25_Oct_24,4.68 out of 5 stars,3 ratings,$18 ,en,408,,"Criticism and interpretation, English Christian literature, Correspondence, Translations into Spanish, English Love poetry, Translations into German, Literatura inglesa (historia e critica), Critique et interprÃƒÂ©tation, Poetry, Devotional literature, English Sermons, Drury, Elizabeth, d.1610, English literature, English Christian poetry, English Poets, CRITICA E INTERPRETACION, English poetry, Literatura inglesa, Poesia, Sonnets, Poetry & poets: 16th to 18th centuries, Devotional, Religion, Biography / Autobiography, Literary, Sermons, English, English, Irish, Scottish, Welsh, Christian literature, English, Spirituality - General, 17th century, Poetry (poetic works by one author), Donne, john, 1572-1631, Written works, English poetry, history and criticism, early modern, 1500-1700, Collected works (single author, multi-form), LITERARY COLLECTIONS, LITERARY CRITICISM, General, Early modern, Fiction, general, Donne, john , 1572-1631, Pr2246 .h3, 821.3",5.1 x 1 x 8.5 inches,http://books.google.com/books/content?id=MYm2tX551HAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A1-B1-0037,The Clue of the Twisted Candle,Edgar Wallace,1900,Crime/Thriller,Fiction,6,3,29_Apr_24,4.15 out of 5 stars,2 ratings,$4.99 ,en,176,,"Fiction, mystery & detective, general, Fiction, suspense, Fiction, thrillers, general, Fiction, thrillers, Fiction, thrillers, suspense",6.26 x 0.82 x 9.51 inches,http://books.google.com/books/content?id=762KEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A1-B1-0038,The Talisman,Sir Walter Scott,1800,Historical Fiction,Fiction,5,1,21_Mar_24,No rating available,No reviews,$11.99 ,en,944,,"Christian, Sir Walter Scott, Protestant, History, Reformation, Catholicism, Crusades, Third, 1189-1192, Historical, Adventure, Fiction, Classic, Literature, Novel, Story, Knights, Knighthood, Romance, Open Library Staff Picks, LibraryThing Recommendation, English literature, history and criticism, Knights and knighthood, LiteraturÃ„Æ’ englezÃ„Æ’, Roman, British and irish fiction (fictional works by one author), Fiction, historical, Crusades, fiction, Fiction, historical, general, Fiction, action & adventure, Scotland, fiction, Historical fiction, Croisades, Romans, nouvelles",5.36 x 3.21 x 8.79 inches,
A1-B1-0039,Wieland,Charles Brockden Brown,1798,Gothic Fiction,Fiction,4,9,17_Jul_24,3.52 out of 5 stars,6 ratings,$9.95 ,en,274,,"Fiction, History, Brothers and sisters, Religious fanaticism, Death, Radicals, Fathers, Spontaneous Combustion, Murder, Ventriloquists, Tricksters, Gentry, Classic Literature, Fiction, short stories (single author), American fiction (fictional works by one author), Fiction, general, Fiction, horror, Fiction, psychological, Pennsylvania, fiction, Brothers and sisters, fiction, Fiction, historical, general, Horror tales, Crime, fiction, Epistolary fiction, Gothic fiction (literary genre), Siblings, Siblings, fiction, Combustion, spontaneous, Combustion, spontaneous--fiction, Religious fanaticism--fiction, Brothers and sisters--fiction, Fathers--death, Fathers--death--fiction, Radicals--fiction, Ps1134 .w5 1991, 813/.2, Fiction, gothic, Literature and fiction, horror and ghost stories",5.1 x 0.9 x 7.75 inches,
A1-B1-0040,The life of Washington,Mason Locke Weems,1800,Biography & Autobiography,History,5,4,11_Apr_24,4.62 out of 5 stars,3 ratings,$27.45 ,en,296,,"Presidents, Generals, Biography, Anecdotes, United States, United States. Continental Army, Washington, george, 1732-1799, GÃƒÂ©nÃƒÂ©raux, Biographies, BIOGRAPHY & AUTOBIOGRAPHY, Historical, HISTORY, State & Local, General, Juvenile literature, Readers, Portraits, caricatures, Military leadership, Death and burial, Portraits",5.5 x 0.74 x 8.5 inches,
A1-B1-0041,Nemesis,Agatha Christie,1970,Crime/Thriller,Fiction,5,30,7_Oct_24,4.68 out of 5 stars,18 ratings,$0.99 ,en,18,,"Fiction, Mystery, Women detectives, Mystery and detective stories, Jane Marple (Fictitious character), Large type books, English literature, Fiction, mystery & detective, women sleuths, Marple, jane (fictitious character), fiction, England, fiction, Fiction, mystery & detective, traditional, Fiction, mystery & detective, general",6.33 x 0.35 x 8.68 inches,
A1-B1-0042,The Princess and Curdie,George MacDonald,1832,Fantasy,Children,7,3,19_May_24,4.56 out of 5 stars,2 ratings,$6.52 ,en,280,,"Fairy tales, Princesses, Fiction, Fiction, general, Princesses, fiction, Children's fiction, General, Juvenile Fiction, Fiction - General, Children: Kindergarten, Fairy Tales & Folklore - General, Classic fiction, Science fiction, Classics, Science Fiction, Fantasy, & Magic, Children's 9-12 - Literature - Classics / Contemporary, Magic, fiction",5.05 x 0.74 x 7.69 inches,
A1-B1-0043,Naturalis historia,Pliny the Elder,1469,History,Reference,5,2,21_Aug_24,5.0 out of 5 stars,1 rating,$30 ,en,1320,978-5-720-1389-0,"Ancient Geography, Art, Art, Greco-Roman, Astronomy, Cosmography, Early works to 1800, Geography, Glass, Gold, History, Latin Didactic literature, Man, Metals, Natural history, Pre-Linnean works, Silver, Translations into French, Zoology, Crimean War, 1853-1856, Latin language materials, Human beings, Literatura Latina, Sources, Histoire, Art grÃƒÂ©co-romain, Art antique, Art history, Arte (Historia), Arte (Grecia), Botany, Mineralogy, Geology, Natural history, pre-linnean works",5.1 x 1.15 x 7.65 inches,
